Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,54,55.2,1,0,0,0,1,0,1,0
8,56,56.27,1,0,0,0,1,0,1,0
8,58,57.11,1,0,0,0,1,0,1,0
8,60,57.94,1,0,0,0,1,0,1,0
8,62,58.87,1,0,0,0,1,0,1,0
8,64,59.66,1,0,0,0,1,0,1,0
8,66,60.44,1,0,0,0,1,0,1,0
8,68,61.08,1,0,0,0,1,0,1,0
8,70,61.86,1,0,0,0,1,0,1,0
8,72,62.79,1,0,0,0,1,0,1,0
8,74,63.53,1,0,0,0,1,0,1,0
8,76,64.31,1,0,0,0,1,0,1,0
8,78,64.95,1,0,0,0,1,0,1,0
8,80,65.64,1,0,0,0,1,0,1,0
8,82,66.27,1,0,0,0,1,0,1,0
8,84,66.81,1,0,0,0,1,0,1,0
8,86,67.45,1,0,0,0,1,0,1,0
8,88,68.04,1,0,0,0,1,0,1,0
8,90,68.58,1,0,0,0,1,0,1,0
8,0,25.02,0,0,1,1,0,0,1,0
8,2,26.6,0,0,1,1,0,0,1,0
8,4,28.14,0,0,1,1,0,0,1,0
8,6,29.49,0,0,1,1,0,0,1,0
8,8,30.47,0,0,1,1,0,0,1,0
8,10,31.3,0,0,1,1,0,0,1,0
8,12,31.86,0,0,1,1,0,0,1,0
8,14,32.37,0,0,1,1,0,0,1,0
8,16,32.7,0,0,1,1,0,0,1,0
